source,target,anchor,reason
/guides/is-k1-game-real/,/review/,"Review","route article to closest hub"
/review/,/guides/is-k1-game-real/,"Is K1 Game Real? Evidence Review","supporting long-tail guide"
/guides/is-k1-game-safe/,/safety-checklist/,"Safety Checklist","route article to closest hub"
/safety-checklist/,/guides/is-k1-game-safe/,"Is K1 Game Safe? APK and Payment Checks","supporting long-tail guide"
/guides/k1-game-scam-red-flags/,/red-flags/,"Red Flags","route article to closest hub"
/red-flags/,/guides/k1-game-scam-red-flags/,"K1 Game Scam Red Flags to Check","supporting long-tail guide"
/guides/withdrawal-proof-claims/,/user-claims/,"User Claims","route article to closest hub"
/user-claims/,/guides/withdrawal-proof-claims/,"K1 Game Withdrawal Proof Claims: How to Read Them","supporting long-tail guide"
/guides/fake-apk-mirrors/,/review/,"Review","route article to closest hub"
/review/,/guides/fake-apk-mirrors/,"Fake K1 Game APK Mirrors and Warning Signs","supporting long-tail guide"
/guides/review-methodology/,/safety-checklist/,"Safety Checklist","route article to closest hub"
/safety-checklist/,/guides/review-methodology/,"K1 Game Review Methodology","supporting long-tail guide"
/guides/user-claims-log/,/red-flags/,"Red Flags","route article to closest hub"
/red-flags/,/guides/user-claims-log/,"K1 Game User Claims Log","supporting long-tail guide"
/guides/safe-download-review/,/user-claims/,"User Claims","route article to closest hub"
/user-claims/,/guides/safe-download-review/,"Safe Download Review for K1 Game","supporting long-tail guide"
/guides/bonus-claim-risks/,/review/,"Review","route article to closest hub"
/review/,/guides/bonus-claim-risks/,"K1 Game Bonus Claim Risks","supporting long-tail guide"
/guides/support-visibility/,/safety-checklist/,"Safety Checklist","route article to closest hub"
/safety-checklist/,/guides/support-visibility/,"K1 Game Support Visibility Review","supporting long-tail guide"
/guides/review-faq/,/red-flags/,"Red Flags","route article to closest hub"
/red-flags/,/guides/review-faq/,"K1 Game Review FAQ","supporting long-tail guide"
/guides/weekly-safety-notes/,/user-claims/,"User Claims","route article to closest hub"
/user-claims/,/guides/weekly-safety-notes/,"Weekly K1 Game Safety Notes","supporting long-tail guide"
